year,avg_temp,avg_temp_uncertainty
1781,6.039,3.584416666666667
1782,5.574916666666668,3.777916666666667
1783,5.352,3.7640000000000002
1784,5.380416666666666,4.326333333333333
1785,5.1282499999999995,3.966833333333333
1786,5.683666666666666,4.004166666666666
1787,5.724083333333334,4.159
1788,6.163833333333334,3.7131666666666665
1789,5.930416666666667,3.6555
1790,5.820083333333334,3.704416666666667
1791,6.046333333333333,3.728
1792,5.569,3.6073333333333335
1793,6.050000000000001,4.175416666666667
1794,6.179749999999999,4.251833333333334
1795,5.950833333333333,4.117916666666667
1796,5.92025,3.47125
1797,5.57725,3.4691666666666667
1798,6.317583333333333,3.6801666666666666
1799,6.043916666666667,3.532
1800,6.032333333333334,3.5928333333333335
1801,6.372999999999999,3.39825
1802,6.536333333333333,3.5006666666666666
1803,6.3300833333333335,3.52075
1804,6.327833333333333,3.75325
1805,6.451250000000001,3.5653333333333332
1806,6.012583333333333,3.5425833333333334
1807,5.797833333333333,3.607
1808,5.67675,3.6734166666666668
1809,4.855916666666666,3.8499166666666667
1810,4.986166666666666,4.020333333333333
1811,5.15025,3.6364166666666664
1812,4.1810833333333335,3.2438333333333333
1813,5.6325,3.4185
1814,5.5480833333333335,3.436
1815,4.739916666666666,3.0735
1816,4.07275,3.303
1817,4.459,3.018666666666667
1818,5.5185,3.1384166666666666
1819,4.96875,3.359
1820,4.695333333333333,2.218166666666667
1821,5.01975,3.09675
1822,5.545000000000001,2.273
1823,5.072333333333334,2.30825
1824,5.312666666666667,2.8113333333333332
1825,6.778833333333333,2.3265000000000002
1826,5.878833333333334,2.3115
1827,6.468083333333333,2.32825
1828,6.591583333333333,2.6060833333333333
1829,5.787166666666667,3.0003333333333333
1830,7.0536666666666665,2.5591666666666666
1831,4.877083333333333,3.1580833333333334
1832,6.16325,3.124166666666667
1833,6.741583333333334,2.59825
1834,6.836749999999999,2.863166666666667
1835,5.062,2.1514166666666665
1836,4.6001666666666665,2.3189166666666665
1837,5.264416666666667,2.24825
1838,4.518083333333333,2.8600833333333333
1839,6.7058333333333335,1.8974166666666668
1840,6.0055,1.863
1841,5.690416666666667,1.62625
1842,6.004666666666666,1.7990833333333334
1843,4.430916666666667,1.9715833333333332
1844,5.674916666666666,1.71475
1845,6.467499999999999,1.7206666666666668
1846,7.52625,1.521
1847,5.02375,2.1185833333333335
1848,5.432583333333333,2.0132499999999998
1849,5.043749999999999,1.7993333333333335
1850,5.78225,1.6854166666666666
1851,6.293583333333333,1.6980833333333334
1852,5.762166666666667,1.82525
1853,5.769166666666666,2.048
1854,6.6232500000000005,1.7093333333333334
1855,5.438833333333333,1.7315
1856,4.674833333333334,1.651
1857,4.6625000000000005,1.2273333333333334
1858,6.356416666666668,1.3515
1859,5.156916666666667,1.4149166666666666
1860,5.576083333333333,1.4265833333333333
1861,5.267083333333334,1.2865
1862,4.742750000000001,1.2868333333333333
1863,5.467583333333334,1.5600833333333333
1864,5.2045,1.25
1865,5.713083333333333,1.2655833333333333
1866,4.621499999999999,1.18225
1867,4.851000000000001,1.3594166666666667
1868,4.71375,1.2314166666666666
1869,4.576083333333333,1.1813333333333333
1870,6.511916666666667,1.137
1871,5.558083333333334,1.0276666666666667
1872,4.607833333333335,1.2761666666666667
1873,4.522666666666667,0.8775833333333334
1874,5.73125,0.8015
1875,3.3714999999999993,0.7315833333333334
1876,5.180083333333333,0.9494166666666667
1877,6.875249999999999,1.1270833333333332
1878,7.825833333333334,0.8987499999999999
1879,6.004166666666666,0.9264166666666667
1880,5.942666666666667,0.8953333333333333
1881,5.970583333333333,0.69075
1882,6.24275,0.62125
1883,4.002666666666666,0.6105833333333334
1884,4.851416666666667,0.6788333333333333
1885,4.04825,0.72225
1886,5.298416666666667,0.68
1887,5.07725,0.6465833333333333
1888,4.249833333333333,0.6546666666666667
1889,6.143916666666667,0.5893333333333334
1890,5.808416666666667,0.6675833333333333
1891,6.12625,0.4945
1892,5.164083333333333,0.5240833333333333
1893,4.482833333333334,0.5294166666666666
1894,6.867500000000001,0.41633333333333333
1895,5.525083333333334,0.4061666666666667
1896,6.0464166666666666,0.4374166666666666
1897,5.828333333333333,0.49283333333333335
1898,6.289916666666667,0.43733333333333335
1899,5.600499999999999,0.47275
1900,6.6241666666666665,0.48175
1901,6.0464166666666666,0.41841666666666666
1902,6.166083333333334,0.4093333333333333
1903,5.377666666666667,0.455
1904,4.579749999999999,0.357
1905,5.53325,0.3595
1906,6.368583333333333,0.3506666666666667
1907,5.179416666666667,0.30183333333333334
1908,6.82575,0.35191666666666666
1909,5.849833333333334,0.2659166666666667
1910,6.432833333333333,0.2981666666666667
1911,6.6450000000000005,0.33858333333333335
1912,4.909916666666667,0.31225
1913,6.5505,0.2836666666666667
1914,6.204166666666667,0.30775
1915,6.118166666666666,0.2965
1916,5.392333333333333,0.3084166666666667
1917,3.8512499999999994,0.33525
1918,6.167166666666667,0.27375
1919,6.304,0.31266666666666665
1920,5.936083333333334,0.34258333333333335
1921,8.0495,0.316
1922,6.7411666666666665,0.3145833333333333
1923,6.213916666666668,0.27575
1924,4.682916666666667,0.26566666666666666
1925,6.060333333333333,0.2945
1926,5.173166666666667,0.29058333333333336
1927,5.940416666666667,0.23091666666666666
1928,6.280333333333333,0.29591666666666666
1929,5.007,0.25225000000000003
1930,6.889166666666667,0.25333333333333335
1931,8.871916666666667,0.27116666666666667
1932,6.211666666666666,0.2798333333333333
1933,6.739750000000001,0.24533333333333335
1934,6.893583333333335,0.27425
1935,5.944333333333333,0.23225
1936,5.5929166666666665,0.24416666666666667
1937,5.821166666666667,0.23016666666666666
1938,7.29725,0.25075000000000003
1939,7.15775,0.25125000000000003
1940,5.839083333333333,0.21341666666666667
1941,7.578583333333333,0.20916666666666667
1942,6.538416666666666,0.23425
1943,5.71725,0.23391666666666666
1944,7.1610000000000005,0.21933333333333332
1945,5.738416666666667,0.20216666666666666
1946,7.127250000000001,0.19058333333333333
1947,6.3420000000000005,0.213
1948,6.502833333333333,0.17358333333333334
1949,7.066583333333333,0.17941666666666667
1950,4.8254166666666665,0.20325
1951,5.075583333333333,0.2505
1952,6.841916666666667,0.158
1953,7.4025,0.1445
1954,6.901416666666667,0.19091666666666668
1955,6.768583333333333,0.194
1956,6.320749999999999,0.21683333333333335
1957,6.336166666666667,0.3555
1958,6.216833333333334,0.26608333333333334
1959,6.18575,0.24075
1960,6.23075,0.22691666666666666
1961,6.6785,0.20208333333333334
1962,5.98075,0.2564166666666667
1963,6.220583333333334,0.21733333333333332
1964,6.988166666666666,0.20333333333333334
1965,5.804999999999999,0.22658333333333333
1966,5.952500000000001,0.22116666666666668
1967,5.648083333333334,0.227
1968,6.7884166666666665,0.1805
1969,6.048333333333334,0.1905
1970,6.2484166666666665,0.19858333333333333
1971,6.2571666666666665,0.21408333333333332
1972,5.098916666666667,0.20908333333333334
1973,7.460583333333334,0.21575
1974,6.285083333333334,0.22591666666666665
1975,6.575583333333333,0.22983333333333333
1976,5.867916666666667,0.22683333333333333
1977,6.6975,0.21933333333333332
1978,5.603666666666667,0.23233333333333334
1979,5.317666666666667,0.20416666666666666
1980,6.2973333333333334,0.17975
1981,7.023333333333334,0.2185
1982,5.886,0.20400000000000001
1983,6.92375,0.21608333333333332
1984,6.8293333333333335,0.20183333333333334
1985,5.857000000000001,0.23925000000000002
1986,6.869166666666667,0.21308333333333335
1987,8.509833333333335,0.22366666666666668
1988,6.892083333333334,0.23066666666666666
1989,5.675166666666667,0.2245
1990,7.523583333333334,0.23275
1991,7.091416666666667,0.19375
1992,6.462166666666667,0.25883333333333336
1993,5.9135,0.23641666666666666
1994,6.5998333333333346,0.21258333333333335
1995,6.4995,0.198
1996,5.240166666666667,0.187
1997,6.3839999999999995,0.22983333333333333
1998,8.905333333333333,0.18816666666666668
1999,7.84,0.20975
2000,7.023666666666667,0.20800000000000002
2001,7.817916666666667,0.20058333333333334
2002,7.421666666666667,0.19016666666666668
2003,6.639833333333334,0.24150000000000002
2004,6.819,0.23733333333333334
2005,7.6615,0.19783333333333333
2006,8.152083333333334,0.22341666666666668
2007,7.489916666666668,0.19116666666666668
2008,5.903583333333334,0.19308333333333333
2009,6.204666666666666,0.23308333333333334
2010,7.86925,0.2604166666666667
2011,7.191166666666667,0.268
2012,8.9591666666666665,0.30683333333333335
2013,8.085333333333333,0.3486666666666667
